# KepID, RA (deg), Dec (deg), Teff, Rs, Ms, FeH, Kp, period, period_unc, Ksini, Ksini_unc, T_0_ellip (BJD), T_0_refl (BJD), A_refl, A_ellip, phase_offsets, SNR, probability
10003593,288.28767,46.92157,5850,0.93,0.84,-0.44,13.6,2.8722,0.0021,29,58,2456422.165,2456422.643,9.8,0.4,0.166,0.19,0.98
10068024,288.84711,47.02291,6349,1.06,1.08,-0.22,13.1,2.0735,0.0012,229,243,2456423.228,2456423.072,20.6,5.6,-0.075,0.47,0.987
10091175,297.48867,47.07529,6063,1.01,1.12,0.07,14.5,1.8757,0.0009,394,385,2456424.557,2456424.704,39.4,9.9,0.578,0.42,0.993
10619862,298.5787305,47.8621,5783,0.88,0.98,-0.08,14.5,3.0538,0.0025,190,247,2456422.91,2456422.961,33.7,1.8,0.017,0.38,0.991
10750987,298.3888005,48.09228,6018,0.97,1.06,-0.04,15.8,2.4648,0.0016,219,347,2456423.851,2456424.149,32.1,3.4,0.121,0.14,1
11152428,298.03065,48.79137,6774,1.35,1.25,-0.26,13.8,1.1726,0.0003,89,85,2456424.068,2456423.968,33.6,8.8,-0.585,0.5,0.987
11235536,287.1771705,48.93281,5631,0.81,0.88,-0.24,15.5,1.4585,0.0005,307,262,2456424.454,2456424.454,54.7,8.8,0,0.35,0.994
11306840,296.2674,49.09696,4910,0.85,0.83,0.48,15.6,1.5414,0.0007,1011,326,2456423.939,2456423.999,50.3,37.4,0.039,0.28,0.991
11362225,297.0674805,49.18819,6623,1.9,1.45,0.04,12,2.7513,0.0021,103,71,2456423.946,2456422.952,42.4,5.9,0.139,1,0.995
12357100,291.47292,51.11143,5880,0.92,1.01,-0.06,15.1,2.6613,0.0021,258,302,2456423.005,2456423.018,36.7,3.2,0.005,0.25,0.984
